iter	Passed	Remaining
0	159	159054
1	160	80208
2	162	53855
3	163	40702
4	165	32880
5	167	27717
6	168	23941
7	170	21088
8	171	18875
9	172	17091
10	173	15635
11	175	14479
12	177	13504
13	180	12708
14	182	11961
15	183	11279
16	185	10716
17	186	10200
18	188	9734
19	190	9324
20	191	8932
21	193	8584
22	194	8257
23	195	7958
24	197	7683
25	198	7427
26	199	7194
27	201	6979
28	202	6783
29	207	6716
30	209	6548
31	211	6388
32	212	6228
33	213	6079
34	215	5935
35	216	5799
36	217	5671
37	219	5550
38	220	5438
39	222	5331
40	223	5225
41	224	5123
42	225	5028
43	227	4944
44	228	4856
45	230	4775
46	231	4700
47	233	4637
48	235	4576
49	237	4516
50	239	4450
51	240	4384
52	241	4321
53	243	4257
54	244	4196
55	245	4136
56	246	4080
57	247	4024
58	249	3972
59	250	3919
60	251	3868
61	252	3818
62	253	3769
63	254	3723
64	255	3678
65	257	3637
66	258	3596
67	259	3558
68	264	3564
69	265	3529
70	267	3495
71	268	3464
72	270	3432
73	271	3397
74	272	3363
75	273	3331
76	275	3296
77	276	3264
78	277	3231
79	278	3201
80	280	3180
81	281	3151
82	282	3116
83	283	3088
84	284	3062
85	285	3036
86	287	3015
87	288	2994
88	290	2974
89	292	2961
90	294	2943
91	295	2921
92	297	2899
93	298	2878
94	300	2858
95	301	2837
96	302	2817
97	303	2797
98	305	2779
99	306	2760
100	307	2739
101	309	2720
102	310	2700
103	311	2681
104	312	2662
105	313	2644
106	314	2627
107	316	2610
108	320	2618
109	322	2606
110	323	2593
111	325	2578
112	326	2562
113	327	2546
114	328	2531
115	330	2516
116	331	2499
117	332	2484
118	333	2470
119	334	2454
120	335	2439
121	336	2424
122	338	2410
123	339	2395
124	340	2381
125	341	2368
126	342	2353
127	343	2339
128	344	2327
129	346	2316
130	347	2308
131	349	2299
132	351	2289
133	352	2277
134	354	2268
135	355	2257
136	356	2246
137	357	2235
138	359	2224
139	360	2213
140	361	2202
141	362	2189
142	363	2178
143	364	2168
144	365	2157
145	367	2146
146	368	2136
147	369	2126
148	370	2116
149	371	2105
150	372	2096
151	374	2086
152	375	2077
153	376	2068
154	379	2071
155	381	2064
156	383	2057
157	384	2048
158	385	2039
159	386	2030
160	387	2020
161	388	2011
162	389	2001
163	390	1992
164	392	1984
165	393	1976
166	394	1967
167	395	1958
168	396	1950
169	397	1941
170	398	1933
171	399	1925
172	401	1917
173	402	1910
174	403	1903
175	405	1898
176	411	1911
177	413	1908
178	414	1901
179	415	1895
180	417	1888
181	418	1881
182	419	1874
183	421	1868
184	422	1861
185	423	1855
186	425	1849
187	426	1842
188	427	1835
189	428	1828
190	430	1821
191	431	1814
192	432	1808
193	433	1801
194	435	1796
195	440	1807
196	443	1806
197	444	1801
198	446	1795
199	447	1788
200	448	1782
201	449	1776
202	451	1770
203	452	1764
204	453	1758
205	454	1752
206	455	1746
207	457	1741
208	458	1735
209	459	1729
210	460	1722
211	461	1717
212	463	1711
213	464	1706
214	466	1702
215	469	1704
216	471	1700
217	472	1695
218	474	1690
219	475	1684
220	476	1679
221	477	1674
222	478	1668
223	480	1663
224	481	1657
225	482	1652
226	483	1647
227	485	1642
228	486	1636
229	487	1631
230	488	1625
231	489	1620
232	490	1615
233	491	1610
234	493	1605
235	494	1601
236	497	1602
237	500	1601
238	501	1598
239	503	1593
240	504	1588
241	505	1584
242	506	1579
243	508	1574
244	509	1569
245	510	1564
246	511	1559
247	512	1554
248	513	1549
249	514	1544
250	515	1539
251	516	1534
252	518	1529
253	519	1524
254	520	1519
255	521	1515
256	522	1510
257	524	1507
258	526	1505
259	529	1506
260	530	1502
261	532	1499
262	533	1494
263	534	1490
264	535	1486
265	537	1481
266	538	1477
267	539	1472
268	540	1468
269	542	1465
270	543	1461
271	544	1457
272	545	1453
273	547	1450
274	548	1446
275	549	1442
276	551	1438
277	552	1433
278	553	1430
279	556	1430
280	558	1428
281	559	1425
282	561	1422
283	562	1418
284	564	1415
285	565	1411
286	566	1407
287	567	1404
288	569	1400
289	570	1397
290	572	1394
291	573	1390
292	574	1386
293	575	1382
294	576	1378
295	577	1374
296	579	1371
297	580	1367
298	581	1363
299	583	1361
300	584	1358
301	586	1355
302	588	1352
303	589	1349
304	590	1346
305	592	1343
306	593	1339
307	594	1335
308	595	1331
309	596	1328
310	597	1324
311	598	1320
312	600	1317
313	601	1313
314	602	1310
315	603	1306
316	604	1302
317	605	1299
318	607	1295
319	608	1292
320	609	1288
321	610	1285
322	611	1282
323	613	1279
324	616	1280
325	619	1280
326	621	1278
327	622	1275
328	623	1272
329	624	1268
330	626	1265
331	627	1262
332	628	1259
333	629	1256
334	631	1253
335	632	1249
336	633	1246
337	634	1243
338	635	1239
339	637	1236
340	638	1233
341	639	1229
342	640	1226
343	641	1223
344	643	1221
345	646	1222
346	648	1219
347	649	1216
348	651	1214
349	652	1211
350	653	1208
351	655	1205
352	656	1202
353	657	1199
354	658	1196
355	659	1193
356	660	1190
357	662	1187
358	663	1184
359	664	1181
360	665	1177
361	666	1174
362	667	1171
363	669	1169
364	670	1166
365	672	1165
366	676	1167
367	680	1168
368	681	1165
369	683	1163
370	684	1160
371	685	1157
372	686	1154
373	687	1151
374	689	1148
375	690	1145
376	691	1142
377	692	1139
378	693	1136
379	694	1133
380	696	1130
381	697	1127
382	698	1124
383	699	1121
384	700	1118
385	701	1116
386	703	1113
387	705	1112
388	707	1110
389	708	1108
390	709	1105
391	711	1103
392	712	1100
393	713	1097
394	714	1094
395	715	1092
396	717	1089
397	718	1086
398	719	1083
399	721	1081
400	722	1079
401	723	1076
402	724	1073
403	725	1070
404	726	1068
405	728	1065
406	729	1062
407	730	1059
408	731	1056
409	732	1054
410	737	1056
411	739	1054
412	740	1052
413	742	1050
414	743	1047
415	744	1045
416	745	1042
417	747	1040
418	748	1037
419	749	1035
420	751	1032
421	752	1030
422	753	1027
423	754	1025
424	755	1022
425	757	1020
426	758	1017
427	759	1014
428	760	1012
429	761	1010
430	765	1010
431	767	1008
432	768	1006
433	770	1004
434	771	1002
435	772	999
436	774	997
437	775	994
438	776	992
439	777	990
440	779	987
441	780	985
442	781	982
443	782	979
444	783	977
445	784	974
446	785	972
447	787	969
448	788	967
449	789	964
450	790	962
451	792	960
452	795	960
453	797	959
454	799	957
455	800	954
456	801	952
457	802	950
458	803	947
459	805	945
460	806	943
461	808	941
462	809	939
463	811	937
464	812	934
465	813	932
466	814	930
467	816	927
468	817	925
469	818	923
470	820	921
471	821	919
472	826	920
473	828	918
474	829	917
475	830	914
476	832	912
477	833	910
478	834	907
